age,gender,job_role,years_of_experience,work_type,hours_worked_per_week,number_of_virtual_meetings,work_life_balance_rating,stress_level,productivity_change,social_isolation_rating,satisfaction_with_remote_work,company_support_for_remote_work,degree_of_remote_support,degree_of_social_isolation,degree_of_work-life_balance
56,Male,Data Scientist,20,Remote,53,3,5,Low,Decrease,2,Satisfied,3,Medium,Low,High
40,Non-binary,Software Engineer,34,Remote,48,1,4,Medium,No Change,5,Neutral,1,Low,High,High
30,Non-binary,Data Scientist,25,Remote,20,15,3,Low,Increase,1,Satisfied,3,Medium,Low,Medium
33,Female,Project Manager,4,Hybrid,33,5,5,High,No Change,5,Unsatisfied,2,Low,High,High
25,Female,Software Engineer,25,Remote,21,15,3,Low,Decrease,5,Neutral,1,Low,High,Medium
33,Female,Data Scientist,6,Remote,24,12,4,Low,No Change,3,Unsatisfied,1,Low,Medium,High
55,Non-binary,Software Engineer,16,Remote,27,11,2,Medium,Decrease,3,Satisfied,4,High,Medium,Low
32,Female,Project Manager,11,Hybrid,29,8,2,Medium,Increase,5,Satisfied,3,Medium,High,Low
23,Non-binary,Software Engineer,26,Onsite,25,11,1,High,Increase,5,Unsatisfied,3,Medium,High,Low
40,Non-binary,Software Engineer,24,Hybrid,57,4,2,Medium,No Change,4,Satisfied,3,Medium,High,Low
54,Prefer not to say,Data Scientist,21,Remote,27,7,2,Medium,Increase,2,Unsatisfied,1,Low,Low,Low
58,Non-binary,Software Engineer,8,Onsite,47,2,2,High,Decrease,4,Neutral,3,Medium,High,Low
48,Male,Software Engineer,9,Remote,50,13,2,Low,No Change,2,Satisfied,5,High,Low,Low
23,Female,Data Scientist,25,Onsite,28,2,2,Low,Increase,4,Satisfied,4,High,High,Low
37,Prefer not to say,Software Engineer,18,Remote,47,14,1,High,Increase,1,Unsatisfied,4,High,Low,Low
23,Female,Data Scientist,1,Onsite,39,0,4,High,No Change,2,Satisfied,4,High,Low,High
51,Female,Data Scientist,1,Onsite,24,13,4,High,Decrease,5,Neutral,1,Low,High,High
47,Male,Data Scientist,22,Onsite,27,14,2,Low,Increase,5,Neutral,4,High,High,Low
30,Prefer not to say,Data Scientist,29,Onsite,23,4,4,High,Decrease,5,Satisfied,1,Low,High,High
47,Male,Project Manager,6,Onsite,52,10,2,Medium,No Change,3,Neutral,5,High,Medium,Low
42,Male,Project Manager,5,Onsite,39,2,3,Medium,No Change,3,Neutral,4,High,Medium,Medium
33,Male,Project Manager,9,Hybrid,59,0,5,Medium,Decrease,1,Unsatisfied,4,High,Low,High
54,Male,Data Scientist,2,Hybrid,32,1,4,Medium,No Change,1,Unsatisfied,5,High,Low,High
59,Non-binary,Project Manager,21,Remote,59,6,4,High,Increase,1,Neutral,5,High,Low,High
50,Prefer not to say,Data Scientist,16,Remote,38,0,1,High,Decrease,3,Neutral,4,High,Medium,Low
26,Prefer not to say,Software Engineer,27,Hybrid,37,10,5,Medium,No Change,3,Unsatisfied,4,High,Medium,High
59,Prefer not to say,Data Scientist,18,Hybrid,26,9,2,High,Increase,5,Unsatisfied,3,Medium,High,Low
29,Male,Data Scientist,19,Hybrid,33,5,1,Medium,Increase,2,Satisfied,2,Low,Low,Low
48,Male,Data Scientist,3,Onsite,21,2,1,Low,Decrease,5,Satisfied,3,Medium,High,Low
49,Prefer not to say,Project Manager,29,Onsite,41,5,3,High,Increase,2,Satisfied,5,High,Low,Medium
57,Male,Project Manager,21,Remote,29,0,4,Low,Decrease,1,Neutral,3,Medium,Low,High
25,Non-binary,Project Manager,14,Onsite,55,0,2,Low,Increase,5,Unsatisfied,3,Medium,High,Low
26,Male,Project Manager,3,Onsite,51,0,4,Medium,No Change,2,Unsatisfied,3,Medium,Low,High
41,Prefer not to say,Data Scientist,1,Onsite,53,14,1,Medium,Increase,2,Unsatisfied,4,High,Low,Low
27,Male,Data Scientist,11,Onsite,47,6,5,Medium,No Change,1,Satisfied,3,Medium,Low,High
35,Female,Project Manager,23,Remote,20,14,5,Low,Increase,1,Satisfied,4,High,Low,High
39,Prefer not to say,Data Scientist,21,Hybrid,29,1,4,Low,Increase,5,Unsatisfied,4,High,High,High
42,Male,Data Scientist,13,Onsite,54,6,4,Medium,No Change,2,Satisfied,1,Low,Low,High
46,Male,Data Scientist,11,Hybrid,41,13,1,Low,Decrease,3,Neutral,4,High,Medium,Low
48,Non-binary,Project Manager,32,Onsite,47,12,5,Medium,Increase,4,Neutral,1,Low,High,High
53,Male,Data Scientist,4,Onsite,30,1,5,Low,No Change,1,Satisfied,2,Low,Low,High
25,Male,Data Scientist,1,Onsite,40,1,1,Medium,No Change,3,Neutral,5,High,Medium,Low
23,Male,Project Manager,15,Remote,34,15,4,Medium,No Change,4,Neutral,5,High,High,High
27,Non-binary,Project Manager,9,Remote,52,2,3,High,Decrease,3,Unsatisfied,5,High,Medium,Medium
59,Female,Project Manager,27,Remote,38,7,2,Low,Increase,4,Neutral,4,High,High,Low
56,Female,Project Manager,5,Onsite,48,4,5,Medium,Decrease,1,Neutral,3,Medium,Low,High
47,Non-binary,Project Manager,24,Hybrid,50,7,2,High,Decrease,4,Neutral,3,Medium,High,Low
53,Female,Project Manager,2,Hybrid,59,0,5,Low,Decrease,1,Neutral,3,Medium,Low,High
55,Male,Data Scientist,31,Hybrid,31,10,5,Low,No Change,3,Neutral,5,High,Medium,High
50,Female,Software Engineer,16,Hybrid,38,11,3,Medium,Decrease,1,Unsatisfied,2,Low,Low,Medium
56,Non-binary,Software Engineer,1,Hybrid,37,10,2,Medium,Increase,1,Satisfied,2,Low,Low,Low
22,Female,Data Scientist,14,Onsite,40,3,4,Low,Decrease,3,Satisfied,5,High,Medium,High
53,Female,Project Manager,14,Hybrid,22,0,1,High,No Change,2,Satisfied,5,High,Low,Low
34,Male,Project Manager,21,Onsite,57,10,3,Medium,No Change,1,Neutral,3,Medium,Low,Medium
40,Prefer not to say,Project Manager,6,Onsite,60,0,2,High,Increase,4,Neutral,2,Low,High,Low
46,Female,Data Scientist,30,Hybrid,40,8,4,High,Increase,4,Satisfied,5,High,High,High
53,Female,Project Manager,35,Hybrid,23,13,3,Low,Increase,3,Satisfied,5,High,Medium,Medium
25,Female,Data Scientist,28,Onsite,54,15,1,Medium,Increase,2,Satisfied,2,Low,Low,Low
38,Female,Software Engineer,6,Onsite,48,8,4,Low,Decrease,1,Unsatisfied,4,High,Low,High
23,Non-binary,Data Scientist,27,Hybrid,22,6,1,Low,Decrease,4,Satisfied,3,Medium,High,Low
46,Non-binary,Data Scientist,1,Hybrid,49,5,5,Medium,Decrease,5,Satisfied,4,High,High,High
51,Male,Software Engineer,4,Remote,20,10,2,Medium,Decrease,3,Satisfied,1,Low,Medium,Low
51,Non-binary,Software Engineer,5,Onsite,47,2,3,Medium,Decrease,5,Unsatisfied,2,Low,High,Medium
43,Prefer not to say,Project Manager,1,Hybrid,30,13,2,Medium,Increase,3,Unsatisfied,5,High,Medium,Low
43,Female,Data Scientist,29,Remote,55,7,2,Medium,No Change,4,Neutral,4,High,High,Low
35,Female,Software Engineer,16,Onsite,45,12,3,Medium,Increase,1,Unsatisfied,2,Low,Low,Medium
52,Male,Project Manager,19,Onsite,20,3,2,Medium,Decrease,2,Satisfied,4,High,Low,Low
30,Non-binary,Software Engineer,16,Remote,55,12,4,Medium,No Change,4,Satisfied,1,Low,High,High
51,Male,Software Engineer,21,Onsite,36,15,4,Low,Decrease,1,Satisfied,3,Medium,Low,High
32,Non-binary,Software Engineer,8,Onsite,42,2,3,Medium,Decrease,5,Satisfied,5,High,High,Medium
31,Non-binary,Software Engineer,27,Onsite,53,6,5,High,Increase,3,Unsatisfied,1,Low,Medium,High
27,Prefer not to say,Data Scientist,27,Hybrid,37,11,3,High,Decrease,5,Unsatisfied,1,Low,High,Medium
31,Prefer not to say,Data Scientist,29,Onsite,55,4,2,Low,Decrease,2,Satisfied,1,Low,Low,Low
40,Female,Project Manager,12,Remote,42,4,1,High,Decrease,5,Neutral,4,High,High,Low
58,Non-binary,Software Engineer,24,Hybrid,42,13,5,Low,No Change,5,Unsatisfied,4,High,High,High
53,Non-binary,Software Engineer,6,Hybrid,39,10,4,Low,Decrease,2,Unsatisfied,3,Medium,Low,High
47,Prefer not to say,Data Scientist,15,Onsite,28,0,4,High,No Change,1,Satisfied,1,Low,Low,High
41,Non-binary,Project Manager,27,Onsite,44,13,4,Low,Increase,2,Neutral,5,High,Low,High
48,Female,Data Scientist,20,Onsite,36,11,2,Low,Decrease,1,Neutral,1,Low,Low,Low
34,Prefer not to say,Project Manager,10,Hybrid,30,13,4,Low,No Change,1,Satisfied,4,High,Low,High
25,Non-binary,Data Scientist,3,Hybrid,25,3,1,Medium,Decrease,1,Neutral,3,Medium,Low,Low
46,Prefer not to say,Software Engineer,6,Hybrid,30,15,5,Low,Increase,2,Satisfied,4,High,Low,High
30,Non-binary,Project Manager,16,Hybrid,27,9,2,Medium,Decrease,3,Neutral,5,High,Medium,Low
38,Non-binary,Project Manager,26,Hybrid,27,15,1,Low,No Change,3,Unsatisfied,3,Medium,Medium,Low
41,Prefer not to say,Project Manager,3,Hybrid,56,5,2,Medium,No Change,1,Unsatisfied,2,Low,Low,Low
58,Prefer not to say,Project Manager,31,Onsite,40,1,4,Medium,No Change,4,Unsatisfied,2,Low,High,High
30,Male,Data Scientist,21,Remote,38,15,5,High,Decrease,4,Neutral,2,Low,High,High
40,Non-binary,Project Manager,4,Onsite,34,8,4,Low,Decrease,3,Neutral,4,High,Medium,High
33,Male,Data Scientist,35,Hybrid,46,2,5,Low,Increase,2,Unsatisfied,5,High,Low,High
31,Prefer not to say,Data Scientist,19,Onsite,28,0,3,Medium,No Change,2,Satisfied,1,Low,Low,Medium
54,Non-binary,Software Engineer,27,Onsite,35,1,5,Low,Increase,5,Unsatisfied,4,High,High,High
25,Prefer not to say,Project Manager,17,Remote,39,9,1,High,No Change,2,Neutral,2,Low,Low,Low
30,Male,Software Engineer,34,Remote,51,6,1,Medium,No Change,1,Satisfied,3,Medium,Low,Low
24,Non-binary,Data Scientist,13,Remote,20,4,5,Low,Increase,1,Satisfied,2,Low,Low,High
28,Prefer not to say,Project Manager,30,Hybrid,52,10,3,High,Decrease,5,Neutral,1,Low,High,Medium
58,Prefer not to say,Data Scientist,34,Onsite,20,15,3,Low,Increase,5,Unsatisfied,5,High,High,Medium
46,Prefer not to say,Software Engineer,33,Remote,52,10,4,High,Increase,4,Unsatisfied,1,Low,High,High
47,Male,Data Scientist,28,Hybrid,42,8,5,Medium,No Change,3,Unsatisfied,5,High,Medium,High
23,Non-binary,Software Engineer,26,Remote,32,9,5,High,Increase,4,Satisfied,4,High,High,High
33,Prefer not to say,Data Scientist,16,Hybrid,27,1,3,High,Increase,5,Neutral,3,Medium,High,Medium
60,Prefer not to say,Project Manager,12,Remote,59,2,3,Medium,Increase,1,Unsatisfied,4,High,Low,Medium
23,Male,Data Scientist,19,Onsite,53,3,3,Low,Decrease,5,Satisfied,3,Medium,High,Medium
45,Non-binary,Software Engineer,25,Onsite,56,11,4,Low,No Change,3,Neutral,1,Low,Medium,High
24,Female,Software Engineer,10,Hybrid,45,7,1,High,Decrease,5,Unsatisfied,4,High,High,Low
52,Female,Data Scientist,17,Remote,28,10,3,Low,Decrease,4,Satisfied,5,High,High,Medium
31,Non-binary,Data Scientist,31,Onsite,24,5,3,Low,Increase,1,Satisfied,4,High,Low,Medium
52,Male,Software Engineer,4,Remote,41,10,4,Medium,No Change,2,Neutral,4,High,Low,High
27,Female,Data Scientist,35,Hybrid,23,15,5,Medium,No Change,2,Unsatisfied,5,High,Low,High
49,Prefer not to say,Project Manager,6,Hybrid,44,0,2,Medium,Decrease,5,Unsatisfied,5,High,High,Low
54,Female,Project Manager,27,Remote,38,12,3,Low,No Change,3,Neutral,5,High,Medium,Medium
22,Non-binary,Software Engineer,14,Hybrid,39,15,2,Low,No Change,3,Satisfied,1,Low,Medium,Low
31,Non-binary,Data Scientist,22,Remote,52,6,4,Medium,No Change,3,Neutral,4,High,Medium,High
38,Female,Project Manager,22,Remote,23,13,1,Low,Decrease,1,Unsatisfied,3,Medium,Low,Low
47,Male,Project Manager,7,Hybrid,49,8,2,High,Decrease,1,Unsatisfied,5,High,Low,Low
37,Non-binary,Data Scientist,26,Remote,27,7,1,High,Increase,4,Unsatisfied,5,High,High,Low
38,Non-binary,Project Manager,16,Onsite,27,7,4,Medium,Decrease,2,Satisfied,2,Low,Low,High
39,Non-binary,Project Manager,3,Hybrid,26,8,3,High,No Change,4,Neutral,1,Low,High,Medium
29,Male,Project Manager,11,Onsite,39,12,1,Low,Decrease,4,Satisfied,2,Low,High,Low
38,Prefer not to say,Data Scientist,26,Hybrid,55,2,5,High,Increase,1,Neutral,2,Low,Low,High
40,Non-binary,Data Scientist,3,Remote,59,7,5,Medium,No Change,3,Unsatisfied,2,Low,Medium,High
26,Female,Data Scientist,7,Onsite,33,4,4,Medium,No Change,1,Neutral,5,High,Low,High
40,Female,Data Scientist,12,Onsite,37,5,4,Low,No Change,4,Unsatisfied,4,High,High,High
28,Prefer not to say,Data Scientist,19,Remote,35,15,3,Medium,Increase,4,Neutral,3,Medium,High,Medium
40,Male,Project Manager,9,Hybrid,22,3,2,Low,No Change,4,Unsatisfied,3,Medium,High,Low
46,Male,Project Manager,26,Remote,41,6,5,Medium,Increase,4,Neutral,3,Medium,High,High
53,Non-binary,Software Engineer,6,Hybrid,41,2,5,Medium,Decrease,5,Satisfied,1,Low,High,High
39,Male,Software Engineer,13,Onsite,48,13,5,Low,Decrease,1,Unsatisfied,3,Medium,Low,High
51,Male,Software Engineer,4,Onsite,56,9,5,Low,Decrease,2,Unsatisfied,1,Low,Low,High
48,Female,Project Manager,33,Onsite,45,0,5,Low,No Change,1,Neutral,2,Low,Low,High
34,Non-binary,Project Manager,21,Remote,32,6,2,Low,Increase,2,Satisfied,5,High,Low,Low
47,Female,Project Manager,30,Hybrid,57,10,5,Low,Decrease,4,Unsatisfied,1,Low,High,High
60,Male,Project Manager,21,Onsite,23,14,1,High,No Change,2,Satisfied,5,High,Low,Low
32,Male,Data Scientist,7,Onsite,57,8,4,Medium,No Change,5,Neutral,1,Low,High,High
31,Male,Software Engineer,28,Hybrid,42,1,3,High,Increase,3,Neutral,5,High,Medium,Medium
60,Female,Software Engineer,27,Onsite,49,2,5,Medium,No Change,1,Unsatisfied,5,High,Low,High
24,Prefer not to say,Project Manager,11,Remote,47,8,2,Low,Increase,1,Satisfied,5,High,Low,Low
44,Male,Software Engineer,34,Hybrid,56,7,5,Low,No Change,3,Satisfied,1,Low,Medium,High
28,Male,Project Manager,16,Remote,36,3,1,High,Decrease,5,Satisfied,1,Low,High,Low
48,Non-binary,Software Engineer,16,Remote,56,10,1,High,Increase,1,Neutral,5,High,Low,Low
49,Female,Data Scientist,3,Remote,36,10,5,Medium,Increase,1,Unsatisfied,2,Low,Low,High
26,Male,Data Scientist,20,Onsite,46,4,5,Low,No Change,2,Neutral,3,Medium,Low,High
30,Prefer not to say,Software Engineer,13,Onsite,41,7,4,High,No Change,1,Neutral,1,Low,Low,High
39,Female,Data Scientist,18,Onsite,38,15,2,High,Increase,5,Satisfied,4,High,High,Low
42,Female,Data Scientist,17,Onsite,60,2,4,Medium,Increase,3,Satisfied,2,Low,Medium,High
27,Male,Project Manager,5,Onsite,48,1,4,Medium,Increase,2,Unsatisfied,3,Medium,Low,High
42,Non-binary,Data Scientist,14,Onsite,57,6,3,Medium,Decrease,5,Neutral,3,Medium,High,Medium
57,Male,Data Scientist,11,Remote,42,14,1,High,No Change,4,Neutral,2,Low,High,Low
50,Female,Data Scientist,23,Onsite,51,11,5,High,Decrease,2,Satisfied,1,Low,Low,High
56,Male,Software Engineer,15,Hybrid,60,14,4,Low,No Change,2,Unsatisfied,1,Low,Low,High
31,Female,Project Manager,15,Onsite,35,0,1,Medium,Increase,3,Neutral,2,Low,Medium,Low
27,Non-binary,Software Engineer,15,Onsite,59,12,2,Low,No Change,5,Neutral,5,High,High,Low
51,Prefer not to say,Project Manager,25,Remote,58,1,4,Medium,No Change,1,Neutral,4,High,Low,High
35,Female,Software Engineer,12,Onsite,41,13,5,Medium,Increase,3,Unsatisfied,3,Medium,Medium,High
26,Female,Project Manager,15,Remote,31,8,3,Medium,No Change,3,Unsatisfied,5,High,Medium,Medium
45,Non-binary,Data Scientist,9,Hybrid,24,12,4,Low,Increase,5,Satisfied,2,Low,High,High
41,Female,Data Scientist,30,Hybrid,49,13,5,Low,Decrease,2,Neutral,4,High,Low,High
30,Male,Project Manager,25,Remote,52,3,1,Low,Decrease,1,Neutral,2,Low,Low,Low
23,Prefer not to say,Project Manager,35,Remote,55,15,4,Low,No Change,5,Unsatisfied,2,Low,High,High
25,Male,Data Scientist,17,Remote,35,7,3,Medium,Increase,2,Unsatisfied,1,Low,Low,Medium
33,Female,Software Engineer,26,Onsite,45,15,2,High,Decrease,3,Satisfied,5,High,Medium,Low
59,Male,Data Scientist,6,Hybrid,30,3,3,Low,Decrease,2,Satisfied,3,Medium,Low,Medium
54,Male,Data Scientist,7,Remote,21,2,1,High,No Change,5,Unsatisfied,1,Low,High,Low
54,Female,Project Manager,29,Hybrid,56,0,1,High,Decrease,3,Neutral,1,Low,Medium,Low
51,Male,Data Scientist,2,Hybrid,25,9,2,Low,No Change,3,Unsatisfied,5,High,Medium,Low
44,Female,Project Manager,6,Remote,27,15,4,Medium,No Change,2,Neutral,4,High,Low,High
28,Prefer not to say,Software Engineer,24,Hybrid,60,11,4,Medium,Increase,1,Neutral,4,High,Low,High
34,Prefer not to say,Project Manager,28,Hybrid,21,3,5,Low,No Change,5,Satisfied,4,High,High,High
41,Prefer not to say,Data Scientist,30,Hybrid,52,1,3,Low,Increase,5,Neutral,5,High,High,Medium
54,Prefer not to say,Project Manager,1,Remote,41,8,3,Medium,No Change,2,Neutral,1,Low,Low,Medium
60,Prefer not to say,Project Manager,10,Remote,56,2,4,Low,No Change,4,Unsatisfied,5,High,High,High
54,Male,Data Scientist,22,Hybrid,38,6,1,Low,Decrease,1,Unsatisfied,3,Medium,Low,Low
25,Prefer not to say,Software Engineer,5,Remote,21,4,2,Medium,Decrease,5,Unsatisfied,5,High,High,Low
22,Female,Software Engineer,25,Onsite,38,5,3,Medium,Decrease,1,Neutral,4,High,Low,Medium
48,Prefer not to say,Data Scientist,22,Remote,39,15,3,High,No Change,5,Unsatisfied,1,Low,High,Medium
33,Male,Project Manager,3,Remote,53,8,2,Low,No Change,1,Unsatisfied,2,Low,Low,Low
41,Non-binary,Data Scientist,26,Onsite,58,7,3,Medium,No Change,4,Unsatisfied,4,High,High,Medium
38,Non-binary,Software Engineer,11,Onsite,60,13,2,Medium,Decrease,4,Neutral,5,High,High,Low
43,Female,Data Scientist,32,Hybrid,34,13,2,Medium,No Change,3,Neutral,1,Low,Medium,Low
29,Male,Project Manager,6,Remote,20,11,1,Medium,Decrease,5,Satisfied,3,Medium,High,Low
56,Prefer not to say,Data Scientist,29,Onsite,53,5,5,High,Decrease,4,Satisfied,5,High,High,High
39,Prefer not to say,Project Manager,3,Onsite,49,13,5,Medium,No Change,5,Neutral,1,Low,High,High
49,Male,Data Scientist,25,Remote,30,2,5,Low,No Change,5,Satisfied,5,High,High,High
58,Male,Data Scientist,19,Remote,34,5,2,Medium,Increase,5,Satisfied,3,Medium,High,Low
54,Male,Project Manager,12,Remote,41,11,3,Medium,No Change,2,Satisfied,2,Low,Low,Medium
25,Female,Data Scientist,19,Remote,22,12,4,Medium,No Change,4,Unsatisfied,2,Low,High,High
37,Non-binary,Project Manager,15,Hybrid,57,9,2,Low,Decrease,3,Unsatisfied,3,Medium,Medium,Low
37,Female,Software Engineer,30,Remote,47,7,4,Medium,Increase,2,Unsatisfied,1,Low,Low,High
45,Non-binary,Project Manager,6,Remote,33,11,3,Low,Increase,1,Neutral,2,Low,Low,Medium
48,Prefer not to say,Project Manager,17,Remote,28,13,4,Medium,Increase,5,Unsatisfied,3,Medium,High,High
41,Non-binary,Data Scientist,16,Onsite,22,14,4,Low,No Change,2,Neutral,3,Medium,Low,High
45,Male,Project Manager,29,Remote,37,12,5,Medium,No Change,5,Neutral,2,Low,High,High
29,Prefer not to say,Software Engineer,14,Onsite,51,14,2,High,No Change,5,Satisfied,3,Medium,High,Low
35,Male,Software Engineer,20,Remote,60,14,5,High,No Change,4,Neutral,2,Low,High,High
22,Prefer not to say,Software Engineer,15,Onsite,27,4,1,High,Decrease,4,Satisfied,1,Low,High,Low
44,Prefer not to say,Software Engineer,18,Hybrid,44,3,2,Medium,Decrease,1,Unsatisfied,4,High,Low,Low
42,Male,Project Manager,35,Remote,58,14,2,Medium,No Change,5,Neutral,2,Low,High,Low
30,Non-binary,Data Scientist,5,Hybrid,27,4,1,High,Decrease,1,Neutral,1,Low,Low,Low
28,Non-binary,Project Manager,3,Remote,22,0,1,Medium,No Change,3,Unsatisfied,3,Medium,Medium,Low
55,Male,Project Manager,28,Onsite,50,13,1,Medium,No Change,1,Satisfied,3,Medium,Low,Low
46,Prefer not to say,Project Manager,29,Remote,20,12,3,Medium,Increase,4,Neutral,4,High,High,Medium
27,Male,Software Engineer,22,Remote,36,1,1,Low,Decrease,3,Unsatisfied,4,High,Medium,Low
23,Male,Data Scientist,21,Onsite,38,10,5,Medium,No Change,1,Satisfied,5,High,Low,High
22,Female,Data Scientist,23,Onsite,56,4,3,Low,No Change,1,Unsatisfied,4,High,Low,Medium
30,Female,Software Engineer,35,Hybrid,54,8,1,Low,No Change,3,Unsatisfied,5,High,Medium,Low
47,Female,Software Engineer,29,Hybrid,23,2,1,High,Increase,2,Neutral,1,Low,Low,Low
54,Male,Software Engineer,5,Remote,46,11,1,High,Increase,2,Satisfied,5,High,Low,Low
47,Female,Project Manager,13,Hybrid,46,15,1,High,Decrease,3,Neutral,3,Medium,Medium,Low
33,Female,Data Scientist,18,Remote,55,0,5,High,Increase,2,Unsatisfied,4,High,Low,High
46,Non-binary,Project Manager,18,Onsite,38,1,1,Medium,Decrease,1,Satisfied,3,Medium,Low,Low
36,Female,Software Engineer,29,Remote,43,13,3,High,No Change,2,Satisfied,3,Medium,Low,Medium
33,Female,Data Scientist,1,Onsite,47,12,2,Low,No Change,1,Neutral,2,Low,Low,Low
40,Non-binary,Data Scientist,15,Hybrid,49,1,1,Medium,Increase,5,Neutral,1,Low,High,Low
39,Prefer not to say,Data Scientist,20,Hybrid,59,10,2,Medium,No Change,4,Satisfied,5,High,High,Low
44,Male,Data Scientist,25,Onsite,35,10,2,Medium,Decrease,1,Satisfied,2,Low,Low,Low
52,Female,Data Scientist,31,Remote,42,9,5,High,No Change,3,Unsatisfied,5,High,Medium,High
39,Female,Data Scientist,21,Onsite,53,14,4,Medium,Increase,4,Unsatisfied,5,High,High,High
24,Male,Data Scientist,1,Remote,21,10,3,Medium,No Change,1,Satisfied,1,Low,Low,Medium
33,Female,Project Manager,26,Hybrid,25,11,3,Medium,No Change,2,Unsatisfied,5,High,Low,Medium
39,Non-binary,Project Manager,6,Onsite,49,15,1,Low,No Change,2,Unsatisfied,5,High,Low,Low
59,Prefer not to say,Project Manager,9,Onsite,37,6,4,High,No Change,2,Neutral,3,Medium,Low,High
34,Non-binary,Data Scientist,5,Remote,27,14,1,High,Decrease,5,Satisfied,3,Medium,High,Low
58,Male,Data Scientist,21,Hybrid,51,7,5,High,Decrease,4,Satisfied,1,Low,High,High
42,Prefer not to say,Data Scientist,20,Remote,22,4,5,Low,No Change,4,Neutral,2,Low,High,High
22,Male,Software Engineer,2,Onsite,31,0,1,Medium,No Change,1,Satisfied,3,Medium,Low,Low
56,Prefer not to say,Data Scientist,17,Remote,30,9,3,Low,No Change,3,Satisfied,5,High,Medium,Medium
33,Non-binary,Project Manager,32,Remote,47,12,2,Medium,Decrease,4,Neutral,1,Low,High,Low
52,Prefer not to say,Software Engineer,30,Hybrid,39,2,4,Medium,No Change,5,Satisfied,4,High,High,High
24,Non-binary,Data Scientist,4,Onsite,35,8,1,Low,No Change,3,Neutral,5,High,Medium,Low
27,Non-binary,Software Engineer,29,Onsite,24,0,1,High,Increase,5,Neutral,2,Low,High,Low
53,Female,Software Engineer,30,Onsite,48,3,5,Low,No Change,2,Satisfied,3,Medium,Low,High
23,Male,Software Engineer,15,Onsite,30,1,2,Medium,No Change,1,Satisfied,2,Low,Low,Low
52,Non-binary,Data Scientist,7,Hybrid,21,5,5,Medium,No Change,5,Neutral,3,Medium,High,High
51,Male,Data Scientist,4,Hybrid,52,4,3,Low,Decrease,3,Unsatisfied,4,High,Medium,Medium
43,Male,Data Scientist,29,Onsite,52,1,3,High,Increase,4,Unsatisfied,4,High,High,Medium
28,Male,Data Scientist,15,Hybrid,56,5,2,High,Increase,1,Unsatisfied,2,Low,Low,Low
32,Male,Project Manager,15,Onsite,26,6,4,High,Decrease,1,Unsatisfied,1,Low,Low,High
34,Male,Software Engineer,19,Onsite,26,13,5,Medium,No Change,5,Neutral,3,Medium,High,High
29,Prefer not to say,Project Manager,28,Remote,32,7,1,High,Increase,1,Unsatisfied,2,Low,Low,Low
29,Female,Project Manager,25,Onsite,33,15,4,Low,Increase,2,Unsatisfied,1,Low,Low,High
31,Female,Data Scientist,27,Hybrid,46,6,1,Medium,Increase,4,Satisfied,4,High,High,Low
52,Prefer not to say,Software Engineer,6,Hybrid,45,6,4,Medium,Increase,5,Unsatisfied,1,Low,High,High
25,Male,Software Engineer,32,Hybrid,35,10,4,Medium,Increase,5,Unsatisfied,2,Low,High,High
36,Female,Data Scientist,12,Remote,34,12,4,Low,Increase,5,Neutral,3,Medium,High,High
40,Female,Software Engineer,16,Remote,20,11,4,High,Decrease,1,Neutral,5,High,Low,High
33,Male,Data Scientist,25,Remote,37,3,4,Low,Decrease,2,Neutral,5,High,Low,High
59,Prefer not to say,Data Scientist,30,Hybrid,49,0,2,High,Increase,2,Unsatisfied,2,Low,Low,Low
50,Male,Data Scientist,3,Remote,45,15,4,Low,Decrease,5,Neutral,4,High,High,High
28,Male,Software Engineer,33,Onsite,53,8,2,Medium,Decrease,1,Neutral,2,Low,Low,Low
32,Prefer not to say,Project Manager,29,Onsite,55,4,3,Medium,No Change,4,Neutral,2,Low,High,Medium
45,Female,Software Engineer,29,Onsite,29,6,3,High,Increase,1,Satisfied,1,Low,Low,Medium
22,Male,Project Manager,9,Remote,42,11,5,High,Decrease,5,Neutral,2,Low,High,High
54,Female,Project Manager,34,Onsite,26,7,3,High,Decrease,2,Neutral,2,Low,Low,Medium
52,Prefer not to say,Software Engineer,16,Remote,36,14,3,Medium,Increase,3,Satisfied,1,Low,Medium,Medium
35,Female,Data Scientist,2,Remote,35,13,5,High,Decrease,3,Neutral,3,Medium,Medium,High
51,Non-binary,Data Scientist,6,Onsite,47,10,3,High,No Change,2,Neutral,1,Low,Low,Medium
26,Non-binary,Software Engineer,12,Hybrid,55,5,4,Medium,Decrease,2,Unsatisfied,4,High,Low,High
29,Male,Software Engineer,9,Hybrid,36,10,2,Low,No Change,1,Unsatisfied,1,Low,Low,Low
38,Female,Project Manager,19,Hybrid,21,0,4,Low,Decrease,2,Unsatisfied,3,Medium,Low,High
34,Male,Data Scientist,21,Remote,47,11,1,Medium,Decrease,3,Unsatisfied,1,Low,Medium,Low
36,Female,Data Scientist,34,Hybrid,33,5,1,Low,Decrease,3,Unsatisfied,5,High,Medium,Low
41,Female,Project Manager,7,Onsite,47,0,1,Low,Increase,4,Neutral,3,Medium,High,Low
37,Male,Data Scientist,6,Hybrid,53,0,3,High,Increase,1,Unsatisfied,5,High,Low,Medium
58,Non-binary,Data Scientist,2,Remote,48,15,1,High,Increase,2,Neutral,2,Low,Low,Low
34,Female,Project Manager,10,Hybrid,21,7,4,Medium,Increase,4,Neutral,2,Low,High,High
